2009-08-31,5.17464017868042,6.007500171661377,6.0303568840026855,5.9464287757873535,6.005713939666748,311337600
2009-09-01,5.085120677947998,5.903571128845215,6.0714287757873535,5.890714168548584,5.999642848968506,469028000
2009-09-02,5.0814290046691895,5.899285793304443,5.9860711097717285,5.8610711097717285,5.87928581237793,364249200
2009-09-03,5.123574256896973,5.948214054107666,5.9678568840026855,5.892857074737549,5.944285869598389,293955200
2009-09-04,5.239243030548096,6.082499980926514,6.096428871154785,5.96750020980835,5.974286079406738,374628800
2009-09-08,5.319841384887695,6.1760711669921875,6.183570861816406,6.142857074737549,6.177856922149658,315047600
2009-09-09,5.26477575302124,6.112143039703369,6.2310709953308105,6.060713768005371,6.170713901519775,811087200
2009-09-10,5.3084611892700195,6.1628570556640625,6.1875,6.1003570556640625,6.144999980926514,491134000
2009-09-11,5.296154022216797,6.148571014404297,6.184999942779541,6.102499961853027,6.175356864929199,348961200
2009-09-14,5.34414529800415,6.204286098480225,6.210713863372803,6.080357074737549,6.101070880889893,322011200
2009-09-15,5.388442516326904,6.255713939666748,6.273213863372803,6.199643135070801,6.215713977813721,426470800
2009-09-16,5.594862937927246,6.495357036590576,6.526785850524902,6.3528571128845215,6.356785774230957,754023200
2009-09-17,5.677306652069092,6.591071128845215,6.6710710525512695,6.498929023742676,6.49928617477417,810572000
2009-09-18,5.691766738891602,6.6078572273254395,6.662499904632568,6.598570823669434,6.636785984039307,601582800
2009-09-21,5.661003589630127,6.572143077850342,6.612856864929199,6.486429214477539,6.581786155700684,437715600
2009-09-22,5.675154209136963,6.588571071624756,6.62071418762207,6.5303568840026855,6.61392879486084,356753600
2009-09-23,5.706532001495361,6.625,6.746428966522217,6.608213901519775,6.621428966522217,593563600
2009-09-24,5.654850959777832,6.565000057220459,6.70357084274292,6.527500152587891,6.685713768005371,550880400
2009-09-25,5.610244274139404,6.513214111328125,6.625,6.480000019073486,6.500357151031494,445239200
2009-09-28,5.726528167724609,6.648213863372803,6.667142868041992,6.547500133514404,6.56678581237793,337444800
2009-09-29,5.702840328216553,6.62071418762207,6.692856788635254,6.582499980926514,6.668929100036621,345385600
2009-09-30,5.701918601989746,6.619643211364746,6.658928871154785,6.521786212921143,6.647500038146973,539585200
2009-10-01,5.563792705535889,6.459286212921143,6.650713920593262,6.45357084274292,6.619643211364746,524711600
2009-10-02,5.688075542449951,6.603570938110352,6.640714168548584,6.476786136627197,6.478929042816162,553308000
2009-10-05,5.72252893447876,6.643570899963379,6.6735711097717285,6.581070899963379,6.650000095367432,423133200
2009-10-06,5.845273017883301,6.786070823669434,6.786070823669434,6.689286231994629,6.704999923706055,605085600
2009-10-07,5.852657318115234,6.794642925262451,6.805356979370117,6.751070976257324,6.7771430015563965,465668000
2009-10-08,5.822509288787842,6.759643077850342,6.837500095367432,6.746070861816406,6.809286117553711,438211200
2009-10-09,5.8594231605529785,6.802499771118164,6.810713768005371,6.736429214477539,6.748929023742676,293272000
2009-10-12,5.869884014129639,6.814642906188965,6.8396430015563965,6.772857189178467,6.822143077850342,288024800
2009-10-13,5.845582008361816,6.786428928375244,6.827499866485596,6.775000095367432,6.80821418762207,348020400
2009-10-14,5.884650707244873,6.831786155700684,6.868570804595947,6.793929100036621,6.8660712242126465,375510800
2009-10-15,5.862192630767822,6.805714130401611,6.818571090698242,6.7689290046691895,6.772500038146973,373556400
2009-10-16,5.784976959228516,6.716071128845215,6.7985711097717285,6.708570957183838,6.762499809265137,431426800
2009-10-19,5.840660095214844,6.78071403503418,6.785714149475098,6.626786231994629,6.708929061889648,942230800
2009-10-20,6.114449501037598,7.098570823669434,7.205357074737549,7.066071033477783,7.164286136627197,1141039200
2009-10-21,6.303948402404785,7.318571090698242,7.4539289474487305,7.115356922149658,7.12571382522583,1193726800
2009-10-22,6.312563896179199,7.32857084274292,7.423213958740234,7.232500076293945,7.310713768005371,791392000
2009-10-23,6.273801326751709,7.283570766448975,7.349999904632568,7.258213996887207,7.346428871154785,420786800
2009-10-26,6.228888511657715,7.231429100036621,7.3839287757873535,7.146429061889648,7.273929119110107,484338400
2009-10-27,6.071690082550049,7.048929214477539,7.243214130401611,7.01607084274292,7.20214319229126,756551600
2009-10-28,5.918798446655273,6.871428966522217,7.072143077850342,6.824999809265137,7.061070919036865,818386800
2009-10-29,6.040310859680176,7.012499809265137,7.028929233551025,6.862143039703369,6.964285850524902,570270400
2009-10-30,5.798821449279785,6.732142925262451,7.028571128845215,6.7203569412231445,7.002142906188965,717525200
2009-11-02,5.823740005493164,6.76107120513916,6.888570785522461,6.627500057220459,6.778571128845215,678983200
2009-11-03,5.806512355804443,6.7410712242126465,6.768570899963379,6.639999866485596,6.708929061889648,522541600
2009-11-04,5.869884014129639,6.814642906188965,6.923213958740234,6.793929100036621,6.81178617477417,487530400
2009-11-05,5.968940258026123,6.929643154144287,6.964285850524902,6.850714206695557,6.871428966522217,384801200
2009-11-06,5.9784770011901855,6.940713882446289,6.971070766448975,6.871428966522217,6.875357151031494,295097600
2009-11-09,6.197508811950684,7.195000171661377,7.210713863372803,7.009285926818848,7.033570766448975,528855600
2009-11-10,6.244269847869873,7.24928617477417,7.320713996887207,7.178928852081299,7.179286003112793,401195200
2009-11-11,6.25257682800293,7.2589287757873535,7.3214287757873535,7.208213806152344,7.305714130401611,443870000
2009-11-12,6.213815212249756,7.213929176330566,7.31678581237793,7.193929195404053,7.255000114440918,363731200
2009-11-13,6.289492130279541,7.301785945892334,7.315357208251953,7.216785907745361,7.245357036590576,343240800
